"CustomerID","FirstPurchaseDate","LastPurchaseDate","TotalOrders","TotalMonetaryValue","RecencyDays","IsChurned30"
"12346.0","2009-12-14 08:34:00","2011-01-18 10:01:00",12,77556.46,325,1
"12347.0","2010-10-31 14:20:00","2011-12-07 15:52:00",8,5633.32,2,0
"12348.0","2010-09-27 14:59:00","2011-09-25 13:13:00",5,1658.4,75,1
"12349.0","2010-04-29 13:20:00","2011-11-21 09:51:00",3,3678.69,18,0
"12350.0","2011-02-02 16:01:00","2011-02-02 16:01:00",1,294.4,310,1
"12351.0","2010-11-29 15:23:00","2010-11-29 15:23:00",1,300.93,375,1
"12352.0","2010-11-12 10:20:00","2011-11-03 14:37:00",9,1729.54,36,1
"12353.0","2010-10-27 12:44:00","2011-05-19 17:47:00",2,406.76,204,1
"12354.0","2011-04-21 13:11:00","2011-04-21 13:11:00",1,1079.4,232,1
"12355.0","2010-05-21 11:59:00","2011-05-09 13:49:00",2,947.61,214,1
"12356.0","2010-10-11 09:42:00","2011-11-17 08:40:00",6,5613.68,22,0
"12357.0","2010-11-16 10:05:00","2011-11-06 16:07:00",2,17437.66,33,1
"12358.0","2009-12-08 07:59:00","2011-12-08 10:26:00",5,3447.07,1,0
"12359.0","2009-12-05 13:32:00","2011-10-13 12:47:00",10,8935.94,57,1
"12360.0","2010-02-22 09:32:00","2011-10-18 15:22:00",6,3612.89,52,1
"12361.0","2010-01-26 14:37:00","2011-02-25 13:51:00",4,451.25,287,1
"12362.0","2011-02-17 10:30:00","2011-12-06 15:40:00",10,4737.23,3,0
"12363.0","2011-04-11 13:29:00","2011-08-22 10:18:00",2,552.0,109,1
"12364.0","2011-08-19 15:24:00","2011-12-02 10:22:00",4,1208.1,7,0
"12365.0","2011-02-21 13:51:00","2011-02-21 13:51:00",1,320.69,291,1
"12366.0","2010-03-16 10:28:00","2010-03-16 10:28:00",1,500.24,633,1
"12367.0","2011-12-05 16:48:00","2011-12-05 16:48:00",1,150.9,4,0
"12368.0","2010-03-21 15:56:00","2010-03-21 15:56:00",1,917.7,628,1
"12369.0","2010-03-08 08:09:00","2010-10-22 13:13:00",3,1511.15,413,1
"12370.0","2010-02-09 09:41:00","2011-10-19 14:51:00",7,3960.31,51,1
"12371.0","2010-03-04 18:23:00","2011-10-11 10:43:00",4,3347.38,59,1
"12372.0","2011-02-16 12:46:00","2011-09-29 12:12:00",3,1196.04,71,1
"12373.0","2010-02-04 12:08:00","2011-02-01 13:10:00",3,927.65,311,1
"12374.0","2010-04-30 14:01:00","2011-11-14 15:37:00",3,2669.22,25,0
"12375.0","2011-09-02 14:23:00","2011-11-29 10:36:00",2,377.5,10,0
"12376.0","2010-10-18 08:42:00","2010-11-15 12:15:00",2,383.15,389,1
"12377.0","2010-04-29 15:34:00","2011-01-28 15:45:00",4,3266.32,315,1
"12378.0","2010-05-26 14:07:00","2011-08-02 10:34:00",2,5416.32,129,1
"12379.0","2010-06-23 12:49:00","2011-09-19 10:09:00",4,1470.22,81,1
"12380.0","2010-02-15 12:05:00","2011-11-18 11:27:00",8,7210.65,21,0
"12381.0","2011-08-12 09:57:00","2011-12-05 12:44:00",3,1474.81,4,0
"12383.0","2010-12-22 14:28:00","2011-06-08 08:02:00",5,1628.56,184,1
"12384.0","2011-08-10 11:23:00","2011-11-11 08:39:00",2,425.27,28,0
"12385.0","2010-11-25 15:14:00","2010-11-25 15:14:00",1,1668.4,379,1
"12386.0","2010-12-08 09:53:00","2011-01-06 12:37:00",2,660.8,337,1
"12387.0","2010-10-20 16:27:00","2010-10-20 16:27:00",1,143.94,415,1
"12388.0","2010-05-06 12:54:00","2011-11-24 12:30:00",8,3901.11,15,0
"12389.0","2010-02-22 10:15:00","2010-11-02 11:52:00",3,1433.33,402,1
"12390.0","2011-09-21 09:33:00","2011-09-21 09:33:00",1,504.84,79,1
"12391.0","2010-02-15 10:12:00","2011-11-18 12:07:00",6,2773.42,21,0
"12392.0","2010-04-27 14:04:00","2010-04-27 14:04:00",1,234.75,591,1
"12393.0","2010-10-07 13:49:00","2011-09-28 15:41:00",6,2399.45,72,1
"12394.0","2011-05-06 14:01:00","2011-10-07 08:08:00",2,1080.48,63,1
"12395.0","2010-04-16 10:16:00","2011-11-20 15:21:00",15,4551.27,19,0
"12396.0","2010-02-03 13:22:00","2010-02-03 13:22:00",1,931.43,674,1
"12397.0","2011-07-27 14:21:00","2011-11-04 09:52:00",2,2214.9,35,1
"12398.0","2011-10-25 10:27:00","2011-10-25 10:27:00",1,1435.66,45,1
"12399.0","2010-03-05 08:45:00","2011-08-12 13:15:00",7,1842.3,119,1
"12400.0","2010-10-21 13:45:00","2010-10-21 13:45:00",1,205.25,414,1
"12401.0","2011-02-09 13:50:00","2011-02-09 13:50:00",1,69.3,303,1
"12402.0","2010-02-07 12:41:00","2011-01-20 13:49:00",6,1136.9,323,1
"12403.0","2010-07-06 11:39:00","2011-10-21 10:51:00",2,947.36,49,1
"12405.0","2011-07-14 08:52:00","2011-07-14 08:52:00",1,1390.39,148,1
"12406.0","2010-01-11 14:04:00","2011-11-17 19:22:00",5,6390.36,22,0
"12407.0","2011-03-20 13:21:00","2011-10-21 10:11:00",5,1507.12,49,1
"12408.0","2010-07-29 13:27:00","2011-11-07 12:27:00",8,3905.77,32,1
"12409.0","2010-05-23 15:21:00","2011-09-22 10:38:00",7,23419.29,78,1
"12410.0","2010-07-25 13:26:00","2011-02-04 10:39:00",3,773.71,308,1
"12411.0","2010-10-26 09:25:00","2010-10-26 09:25:00",1,346.9,409,1
"12412.0","2010-06-18 13:22:00","2011-09-26 10:16:00",6,2404.93,74,1
"12413.0","2010-11-02 13:26:00","2011-10-04 09:00:00",4,871.45,66,1
"12414.0","2010-09-02 12:22:00","2011-05-06 14:51:00",4,532.41,217,1
"12415.0","2010-06-30 08:30:00","2011-11-15 14:22:00",24,144033.37,24,0
"12416.0","2010-02-21 10:19:00","2010-02-21 10:19:00",1,202.56,656,1
"12417.0","2009-12-06 10:30:00","2011-12-06 14:52:00",20,6017.91,3,0
"12418.0","2010-03-19 14:47:00","2011-08-19 11:08:00",4,2021.2,112,1
"12419.0","2010-10-22 10:40:00","2010-11-19 10:04:00",2,391.01,385,1
"12420.0","2011-10-07 08:55:00","2011-10-07 08:55:00",1,600.39,63,1
"12421.0","2010-07-22 13:57:00","2011-11-24 09:07:00",6,874.6,15,0
"12422.0","2009-12-18 12:44:00","2011-09-05 09:48:00",12,3639.35,95,1
"12423.0","2010-08-31 09:31:00","2011-12-09 10:10:00",10,2301.39,0,0
"12424.0","2010-06-09 15:15:00","2011-06-30 12:06:00",4,3340.03,162,1
"12425.0","2010-09-17 14:10:00","2011-09-22 17:31:00",2,1741.41,78,1
"12426.0","2010-02-15 08:41:00","2011-05-29 12:26:00",2,1201.21,194,1
"12427.0","2010-12-03 10:44:00","2011-11-18 08:56:00",3,949.3,21,0
"12428.0","2011-03-01 09:33:00","2011-11-14 08:22:00",8,6405.26,25,0
"12429.0","2010-06-11 13:28:00","2011-11-30 17:22:00",8,6979.91,9,0
"12430.0","2011-10-27 15:09:00","2011-10-27 15:09:00",1,216.4,43,1
"12431.0","2010-01-15 09:04:00","2011-11-04 11:55:00",25,10527.97,35,1
"12432.0","2011-06-20 13:27:00","2011-10-28 11:43:00",4,4359.32,42,1
"12433.0","2010-08-20 09:23:00","2011-12-09 10:02:00",10,20581.26,0,0
"12434.0","2010-11-23 13:38:00","2011-09-16 12:38:00",3,1103.43,84,1
"12435.0","2009-12-02 13:58:00","2011-09-21 09:06:00",6,13925.93,79,1
"12436.0","2011-09-01 12:09:00","2011-09-01 12:09:00",1,429.01,99,1
"12437.0","2009-12-02 16:24:00","2011-12-08 11:35:00",38,11282.4,1,0
"12438.0","2011-07-22 13:29:00","2011-11-25 13:28:00",2,2466.85,14,0
"12439.0","2009-12-14 08:40:00","2010-01-26 12:11:00",2,1158.18,682,1
"12440.0","2009-12-22 12:03:00","2010-09-03 13:11:00",2,739.2,462,1
"12441.0","2010-12-08 10:45:00","2010-12-08 10:45:00",1,311.1,366,1
"12442.0","2011-12-06 14:22:00","2011-12-06 14:22:00",1,144.06,3,0
"12443.0","2009-12-07 15:42:00","2009-12-07 15:42:00",1,365.31,732,1
"12444.0","2011-06-21 14:00:00","2011-11-18 13:23:00",5,4085.46,21,0
"12445.0","2010-10-15 12:28:00","2011-11-17 18:43:00",2,378.98,22,0
"12446.0","2011-10-13 12:50:00","2011-10-13 12:50:00",1,1002.31,57,1
"12447.0","2011-04-10 13:25:00","2011-04-10 13:25:00",1,431.49,243,1
"12448.0","2011-10-26 13:46:00","2011-10-26 13:46:00",1,365.45,44,1
"12449.0","2010-09-27 09:37:00","2011-11-17 13:46:00",5,4274.89,22,0
"12450.0","2010-08-22 13:11:00","2011-07-06 14:41:00",5,688.2,156,1
"12451.0","2010-06-28 12:58:00","2011-11-29 08:40:00",8,12629.88,10,0
"12452.0","2011-11-23 08:05:00","2011-11-23 08:05:00",1,348.57,16,0
"12453.0","2011-07-28 14:08:00","2011-07-28 14:08:00",1,707.09,134,1
"12454.0","2010-10-14 17:33:00","2011-10-14 17:13:00",4,16459.78,56,1
"12455.0","2009-12-18 12:33:00","2011-09-27 15:31:00",9,5722.95,73,1
"12456.0","2011-03-30 09:12:00","2011-10-26 14:41:00",3,2581.04,44,1
"12457.0","2010-09-30 17:59:00","2011-10-04 13:13:00",7,2555.91,66,1
